Rank,Country,Real GDP growth rate (%)
1, Libya,177.26
2, Maldives,33.416
3, Guyana,19.928
4, Macao,17.99
5, Aruba,16.8
6, Panama,15.336
7, Moldova,13.945
8, Ireland,13.479
9, Peru,13.297
10, Botswana,12.515
11, Honduras,12.5
12, Montenegro,12.434
13, Dominican Republic,12.263
14, Chile,11.69
15, Turkey,10.986
16, Colombia,10.563
17, Croatia,10.449
18, Georgia,10.359
19, Nicaragua,10.3
20, El Salvador,10.3
21, Rwanda,10.204
22, Argentina,10.2
23, Belize,9.754
24, Kosovo,9.5
25, Malta,9.414
26, Tajikistan,9.2
27, Andorra,8.949
28, India,8.948
29, Albania,8.544
30, Estonia,8.349
31, Greece,8.336
32, Israel,8.188
33, Slovenia,8.115
34, China,8.08
35, Guatemala,8
36, Seychelles,7.954
37, Singapore,7.614
38, Costa Rica,7.58
39, United Kingdom,7.441
40, Uzbekistan,7.42
41, Serbia,7.389
42, Kenya,7.228
43, Morocco,7.186
44, Hungary,7.124
45, France,6.978
46, Burkina Faso,6.917
47, Cape Verde,6.897
48, Luxembourg,6.887
49, Saint Lucia,6.792
50, Italy,6.636
51, Benin,6.576
52, Ivory Coast,6.5
53, Hong Kong,6.418
54, Zimbabwe,6.338
55, Taiwan,6.282
56, Belgium,6.275
57, Ethiopia,6.265
58, Bolivia,6.106
59, Senegal,6.067
60, Palestine,6.01
61, Iraq,5.937
62, Romania,5.877
63, Bosnia and Herzegovina,5.8
64, Democratic Republic of the Congo,5.744
65, United States,5.677
66, Poland,5.669
67, Armenia,5.66
68, New Zealand,5.631
69, Azerbaijan,5.619
70, Bahamas,5.604
71, Gambia,5.6
72, Grenada,5.6
73, Pakistan,5.6
74, Philippines,5.598
75, Cyprus,5.513
76, South Sudan,5.325
77, San Marino,5.184
78, Spain,5.129
79, Togo,5.1
80, Uganda,5.096
81, Netherlands,5.035
82, Bangladesh,5.009
83, Lithuania,4.941
84, Turkmenistan,4.929
85, South Africa,4.915
86, Tanzania,4.893
87, Portugal,4.881
88, Sweden,4.801
89, Mexico,4.797
90, Antigua and Barbuda,4.761
91, Russia,4.7
92, Australia,4.693
93, Latvia,4.672
94, Brazil,4.619
95, Canada,4.563
96, Austria,4.484
97, Uruguay,4.402
98, Jamaica,4.363
99, Iceland,4.348
100, Zambia,4.309
101, Ecuador,4.235
102, Ghana,4.233
103, Liberia,4.217
104, Guinea,4.217
105, Paraguay,4.2
106, Bulgaria,4.178
107, Denmark,4.128
108, South Korea,4.021
109, Iran,4.011
110, Djibouti,4
111, Kazakhstan,4
112, Algeria,3.993
113, North Macedonia,3.964
114, Norway,3.923
115, Mauritius,3.9
116, Guinea-Bissau,3.75
117, Kyrgyzstan,3.742
118,  Switzerland,3.722
119, Dominica,3.698
120, Indonesia,3.691
121, Nigeria,3.647
122, Sri Lanka,3.577
123, Cameroon,3.547
124, Madagascar,3.537
125, Ukraine,3.4
126, Egypt,3.326
127, Finland,3.299
128, Czech Republic,3.256
129, Saudi Arabia,3.241
130, Sierra Leone,3.186
131, Eswatini,3.147
132, Malaysia,3.133
133, Tunisia,3.095
134, Mali,3.06
135, Slovakia,3.02
136, Mauritania,2.974
137, Eritrea,2.903
138, Germany,2.787
139,   Nepal,2.662
140, Vietnam,2.576
141, Tuvalu,2.532
142, Burundi,2.447
143, Belarus,2.3
144, United Arab Emirates,2.267
145, Comoros,2.234
146, Bahrain,2.226
147, Malawi,2.2
148, Mozambique,2.155
149, Cambodia,2.151
150, Lesotho,2.112
151, Laos,2.061
152, Jordan,2.034
153, Oman,2.004
154, Somalia,2
155, São Tomé and Príncipe,1.827
156, Timor-Leste,1.8
157, Papua New Guinea,1.744
158, Japan,1.621
159, Thailand,1.566
160, Nauru,1.55
161, Qatar,1.52
162, Kiribati,1.469
163, Mongolia,1.421
164, Barbados,1.4
165, Niger,1.349
166, Kuwait,1.308
167, Puerto Rico,1
168, Central African Republic,0.983
169, Gabon,0.918
170, Namibia,0.9
171, Angola,0.652
172, Vanuatu,0.532
173, Sudan,0.5
174, Republic of the Congo,-0.16
175, Solomon Islands,-0.179
176, Saint Vincent and the Grenadines,-0.5
177, Brunei,-0.676
178, Trinidad and Tobago,-0.985
179, Tonga,-0.702
180, Chad,-1.118
181, Venezuela,-1.5
182, Marshall Islands,-1.5
183, Haiti,-1.798
184, Yemen,-2
185, Afghanistan (2020),-2.65
186, Federated States of Micronesia,-3.247
187, Suriname,-3.516
188, Equatorial Guinea,-3.531
189, Saint Kitts and Nevis,-3.587
190, Bhutan,-3.73
191, Fiji,-3.987
192, Samoa,-8.076
193, Palau,-17.116
194, Myanmar,-17.938
195, Lebanon (2020),-22
