ranking,province,gdp 2022,growth rate
1,Guangdong,59518,2%
2,Jiangsu,56909,1.60%
3,Shandong,41717,3.60%
4,Zhejiang,36222,2.50%
5,Henan,30757,3.10%
6,Sichuan,26176,2.80%
7,Fujian,24605,4.60%
8,Hubei,24503,4.50%
9,Hunan,22933,4.30%
10,Anhui,21764,3%
11,Hebei,19824,3.40%
12,Beijing,19352,0.70%
13,Shanghai,19349,-5.70%
14,Shaanxi,15252,4.20%
15,Jiangxi,15133,4.90%
16,Chongqing,13512,4%
17,Yunnan,13464,3.50%
18,Liaoning,13173,1.50%
19,Guangxi,12294,2.70%
20,Shanxi,11569,5.20%
21,Nei Mongol,10465,4.30%
22,Guizhou,9830,4.50%
23,Xinjiang,8279,4.90%
24,Tianjin,7621,0.40%
25,Heilongjiang,6395,2.80%
26,Jilin,5697,-6%
27,Gansu,5235,4.20%
28,Hainan,3145,1.60%
29,Ningxia,2353,5.30%
30,Qinghai,1689,2.50%
31,Tibet,973,4.80%
